COYOTEID,PAIRED,TISSUE,SECTION,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
TCL1,YES,HAIR,BASE,79,rural,rural,Summer 2011,2011,7,MM,-23.7,6.9,45.8,15.6,NA,0,M,NA
TCL1,YES,HAIR,TIP,80,rural,rural,Summer 2011,2011,7,MM,-23.7,7,47.1,15.3,NA,1,M,NA
TCL2,YES,HAIR,BASE,81,rural,rural,Summer 2011,2011,7,MM,-24.3,7.5,48.3,14.7,NA,0,F,NA
TCL2,YES,HAIR,TIP,82,rural,rural,Summer 2011,2011,7,MM,-23.9,6.9,46.8,15.6,NA,1,F,NA
TCL3,YES,HAIR,BASE,83,rural,rural,Summer 2011,2011,7,MM,-23.5,9.7,46.7,16,NA,0,M,NA
TCL3,YES,HAIR,TIP,84,rural,rural,Summer 2011,2011,7,MM,-24.5,8.7,47.8,15.1,NA,1,M,NA
TCL4,YES,HAIR,BASE,85,rural,rural,Summer 2011,2011,7,MM,-23.1,6.9,45.7,15.4,NA,0,M,NA
TCL4,YES,HAIR,TIP,86,rural,rural,Summer 2011,2011,7,MM,-23.2,7.2,46.3,15.8,NA,1,M,NA
TCL5,YES,HAIR,BASE,87,rural,rural,Summer 2011,2011,7,MM,-24.1,8,45.4,15.6,NA,0,F,NA
TCL5,YES,HAIR,TIP,88,rural,rural,Summer 2011,2011,7,MM,-24,8,45.1,15.4,NA,1,F,NA
TCL6,YES,HAIR,BASE,89,rural,rural,Summer 2011,2011,7,MM,-23.7,9.1,45.9,15.7,NA,0,M,NA
TCL6,YES,HAIR,TIP,90,rural,rural,Summer 2011,2011,7,MM,-23.8,8.7,46.8,15.7,NA,1,M,NA
TCL7,YES,HAIR,BASE,91,rural,rural,Summer 2011,2011,7,MM,-22.2,9.4,45.7,15.6,NA,0,M,NA
TCL7,YES,HAIR,TIP,92,rural,rural,Summer 2011,2011,7,MM,-22.9,9.3,46.9,15.5,NA,1,M,NA
TCL8,YES,HAIR,BASE,93,rural,rural,Summer 2011,2011,7,MM,-23.8,7.7,45.5,15.6,NA,0,F,NA
TCL8,YES,HAIR,TIP,94,rural,rural,Summer 2011,2011,7,MM,-23.7,7.4,46.8,15.5,NA,1,F,NA
TCL9,YES,HAIR,BASE,95,rural,rural,Summer 2011,2011,7,MM,-23,9.5,46,15.4,NA,0,M,NA
TCL9,YES,HAIR,TIP,96,rural,rural,Summer 2011,2011,7,MM,-23.1,9.3,45.9,15.4,NA,1,M,NA
TCL10,YES,HAIR,BASE,97,rural,rural,Summer 2011,2011,7,MM,-23.6,7.2,45.1,15.4,NA,0,F,NA
TCL10,YES,HAIR,TIP,98,rural,rural,Summer 2011,2011,7,MM,-23.5,7.1,46,15.7,NA,1,F,NA
TCL11,YES,HAIR,ALL,99,rural,rural,Summer 2011,2011,7,MM,-23.5,8.2,45.9,15.4,NA,1,F,NA
